Academic_Year,Institution_Type_EN,Campus_Zone_EN,LocalFlag_EN,Gender_EN,Bachelors,Certificate,Diploma,Doctorate,Graduate Diploma,Higher Diploma,Masters, Total 
2013,Federal,Abu Dhabi,Expat,Female,235,19,55,8,80,40,40,477
2013,Federal,Abu Dhabi,Expat,Male,126,19,10,8,80,1,42,286
2013,Federal,Abu Dhabi,Local,Female,1838,5,532,8,80,192,280,2935
2013,Federal,Abu Dhabi,Local,Male,886,54,229,8,80,193,185,1635
2013,Federal,Dubai,Expat,Female,4,19,55,8,80,40,132,338
2013,Federal,Dubai,Expat,Male,1,19,55,8,80,40,132,335
2013,Federal,Dubai,Local,Female,709,19,149,8,80,199,109,1273
2013,Federal,Dubai,Local,Male,316,19,73,8,80,201,10,707
2013,Federal,Fujairah,Local,Female,134,19,137,8,80,6,132,516
2013,Federal,Fujairah,Local,Male,10,14,41,8,80,1,132,286
2013,Federal,Ras Al Khaimah,Local,Female,85,19,143,8,80,48,15,398
2013,Federal,Ras Al Khaimah,Local,Male,40,19,35,8,80,34,5,221
2013,Federal,Sharjah,Local,Female,351,19,128,8,80,163,9,758
2013,Federal,Sharjah,Local,Male,102,19,58,8,80,25,4,296
2013,Non-Federal,Abu Dhabi,Expat,Female,564,1,218,8,650,40,166,1647
2013,Non-Federal,Abu Dhabi,Expat,Male,386,19,122,8,62,40,200,837
2013,Non-Federal,Abu Dhabi,Local,Female,476,8,228,8,84,40,123,967
2013,Non-Federal,Abu Dhabi,Local,Male,559,16,286,8,72,16,131,1088
2013,Non-Federal,Ajman,Expat,Female,382,19,55,8,99,40,20,623
2013,Non-Federal,Ajman,Expat,Male,291,19,55,8,5,40,2,420
2013,Non-Federal,Ajman,Local,Female,141,19,55,8,1,40,10,274
2013,Non-Federal,Ajman,Local,Male,160,19,55,8,80,40,12,374
2013,Non-Federal,Dubai,Expat,Female,914,19,20,2,16,40,406,1417
2013,Non-Federal,Dubai,Expat,Male,599,3,43,2,9,1,476,1133
2013,Non-Federal,Dubai,Local,Female,375,1,9,5,5,3,245,643
2013,Non-Federal,Dubai,Local,Male,890,6,18,8,1,4,457,1384
2013,Non-Federal,Fujairah,Expat,Female,64,19,55,8,186,40,132,504
2013,Non-Federal,Fujairah,Expat,Male,27,19,55,8,80,40,132,361
2013,Non-Federal,Fujairah,Local,Female,148,19,4,8,1,40,132,352
2013,Non-Federal,Fujairah,Local,Male,100,19,55,8,80,40,132,434
2013,Non-Federal,Ras Al Khaimah,Expat,Female,155,19,55,8,80,40,6,363
2013,Non-Federal,Ras Al Khaimah,Expat,Male,78,19,55,8,80,40,2,282
2013,Non-Federal,Ras Al Khaimah,Local,Female,86,19,55,8,80,40,3,291
2013,Non-Federal,Ras Al Khaimah,Local,Male,29,19,55,8,80,40,132,363
2013,Non-Federal,Sharjah,Expat,Female,894,19,2,8,80,5,63,1071
